epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.61443,2.21068,4.40931,2.03829,0.11871,0.08333,0.07819,0.04323,1.91489,3.75245,2.08953,9e-05,9e-05,9e-05
2,5.24703,1.44111,2.4308,1.37264,0.34342,0.76667,0.52365,0.32153,1.23615,4.36197,1.23005,0.000189624,0.000189624,0.000189624
3,7.7821,1.29959,1.55831,1.23523,0.56748,0.84635,0.78448,0.53727,1.14416,1.60911,1.10701,0.000288852,0.000288852,0.000288852
4,10.1993,1.1891,1.19093,1.12818,0.64128,0.84343,0.74087,0.50804,1.14942,1.33361,1.05503,0.000387683,0.000387683,0.000387683
5,12.525,1.18326,1.07094,1.10879,0.75884,0.80962,0.87864,0.61399,1.14214,0.96076,1.06214,0.000486119,0.000486119,0.000486119
6,14.9468,1.19114,0.92224,1.08306,0.70596,0.85492,0.82365,0.55907,1.15562,0.96293,1.06854,0.000584159,0.000584159,0.000584159
7,17.1238,1.18329,0.89893,1.09762,0.93351,0.91762,0.97785,0.62641,1.2805,0.68194,1.12562,0.000681803,0.000681803,0.000681803
8,19.4325,1.17061,0.85433,1.12224,0.79475,0.84683,0.91316,0.62723,1.15423,0.84311,1.06041,0.000779051,0.000779051,0.000779051
9,21.696,1.1737,0.81157,1.09214,0.86984,0.89285,0.94254,0.6262,1.22575,0.75373,1.11234,0.000875902,0.000875902,0.000875902
10,24.0887,1.13354,0.87527,1.09039,0.91769,0.90808,0.97763,0.67332,1.14965,0.68475,1.08215,0.000972358,0.000972358,0.000972358
11,26.5691,1.1073,0.71997,1.07379,0.9166,0.95121,0.97859,0.64736,1.22835,0.64432,1.14297,0.0009802,0.0009802,0.0009802
12,28.8877,1.12774,0.71795,1.08753,0.8435,0.83437,0.9334,0.63296,1.20452,0.78084,1.11225,0.00097822,0.00097822,0.00097822
13,31.1017,1.08705,0.78296,1.06503,0.95904,0.9423,0.98212,0.7033,1.09137,0.58334,1.05322,0.00097624,0.00097624,0.00097624
14,33.3725,1.0601,0.69918,1.05418,0.91446,0.93105,0.97156,0.67332,1.16425,0.58705,1.07347,0.00097426,0.00097426,0.00097426
15,35.6273,1.07284,0.66354,1.06156,0.93723,0.9541,0.98265,0.68059,1.15292,0.56803,1.06106,0.00097228,0.00097228,0.00097228
16,37.9462,1.06252,0.63301,1.05396,0.9723,0.96976,0.98516,0.69338,1.09638,0.54511,1.03775,0.0009703,0.0009703,0.0009703
17,40.1659,1.07487,0.62793,1.06461,0.96281,0.89976,0.9721,0.67695,1.13924,0.57297,1.06147,0.00096832,0.00096832,0.00096832
18,42.3502,1.06153,0.63358,1.0782,0.87623,0.90277,0.93487,0.64658,1.13134,0.68006,1.04218,0.00096634,0.00096634,0.00096634
19,44.5224,1.06259,0.59955,1.06858,0.89022,0.92512,0.96323,0.6866,1.08692,0.59048,1.03372,0.00096436,0.00096436,0.00096436
20,46.7775,1.06855,0.59808,1.06368,0.97359,0.97611,0.98518,0.68686,1.15706,0.48173,1.06295,0.00096238,0.00096238,0.00096238
21,49.0303,1.05275,0.57583,1.05381,0.82063,0.96254,0.92233,0.64084,1.12883,0.69987,1.04939,0.0009604,0.0009604,0.0009604
22,51.2302,1.04144,0.57998,1.05597,0.9681,0.97144,0.98692,0.68431,1.1351,0.45113,1.05324,0.00095842,0.00095842,0.00095842
23,53.4028,1.02278,0.56906,1.05113,0.97584,0.96353,0.98185,0.67886,1.15907,0.48224,1.06383,0.00095644,0.00095644,0.00095644
24,55.6176,1.02798,0.53084,1.04161,0.97685,0.97463,0.98655,0.6975,1.1356,0.45293,1.06069,0.00095446,0.00095446,0.00095446
25,57.8518,1.0273,0.56627,1.04622,0.96078,0.98396,0.98327,0.69089,1.13729,0.47268,1.0707,0.00095248,0.00095248,0.00095248
26,60.1127,1.00205,0.55193,1.03201,0.92599,0.97824,0.97944,0.67103,1.17891,0.53589,1.08106,0.0009505,0.0009505,0.0009505
