epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.93051,1.86496,3.44612,1.53869,0.35358,0.59026,0.42542,0.25567,1.29238,2.29157,1.16285,0.00025,0.00025,0.00025
2,10.8325,1.26908,1.42475,1.11033,0.51745,0.73628,0.6661,0.44535,1.12801,1.41057,1.00768,0.00050899,0.00050899,0.00050899
3,15.6142,1.1738,1.18812,1.05344,0.68431,0.75545,0.82241,0.5556,1.07914,1.13354,1.01108,0.000766951,0.000766951,0.000766951
4,20.4128,1.13299,1.02245,1.02417,0.67366,0.85886,0.83498,0.57745,1.08845,1.0359,1.0144,0.00099406,0.00099406,0.00099406
5,25.24,1.15574,0.87265,1.04979,0.78517,0.86322,0.88717,0.62217,1.05067,0.8044,0.98883,0.00099208,0.00099208,0.00099208
6,30.0743,1.12343,0.79421,1.03447,0.81149,0.82849,0.888,0.60929,1.08253,0.87426,0.99632,0.0009901,0.0009901,0.0009901
7,34.8495,1.09831,0.77867,1.03529,0.89601,0.93522,0.9706,0.6849,1.03599,0.6545,0.97489,0.00098812,0.00098812,0.00098812
8,39.8875,1.08638,0.74193,1.03047,0.82688,0.86557,0.92865,0.65126,1.06045,0.72675,0.98753,0.00098614,0.00098614,0.00098614
9,44.7409,1.05188,0.68317,1.01491,0.93552,0.94326,0.97136,0.68831,1.02517,0.578,0.9753,0.00098416,0.00098416,0.00098416
10,49.7685,1.07885,0.67331,1.02075,0.90517,0.92421,0.95891,0.68218,1.03292,0.59369,0.97367,0.00098218,0.00098218,0.00098218
11,54.7129,1.07815,0.67034,1.01935,0.86032,0.87266,0.93211,0.67775,1.01894,0.67131,0.97002,0.0009802,0.0009802,0.0009802
12,59.7451,1.04008,0.61871,1.01144,0.94936,0.92558,0.97004,0.70956,1.01375,0.5596,0.96701,0.00097822,0.00097822,0.00097822
13,64.8484,1.01284,0.60433,0.99743,0.96451,0.93404,0.98056,0.70672,1.01911,0.53031,0.97889,0.00097624,0.00097624,0.00097624
14,69.7981,1.015,0.6048,1.0018,0.93704,0.94759,0.97175,0.69927,1.01738,0.55883,0.96655,0.00097426,0.00097426,0.00097426
15,74.8161,1.02515,0.60081,1.00061,0.89915,0.93856,0.96739,0.69502,1.05239,0.57727,0.98325,0.00097228,0.00097228,0.00097228
16,79.6231,1.03531,0.59561,1.00637,0.94869,0.95346,0.982,0.71988,0.99683,0.51734,0.95562,0.0009703,0.0009703,0.0009703
17,84.4458,0.9995,0.57489,0.9855,0.92378,0.8812,0.95994,0.69403,1.01541,0.63657,0.96717,0.00096832,0.00096832,0.00096832
18,89.1403,1.02545,0.60967,0.99904,0.87481,0.88392,0.92152,0.66919,1.00027,0.63758,0.96452,0.00096634,0.00096634,0.00096634
19,93.8332,0.99994,0.58213,0.98871,0.93434,0.91861,0.97075,0.71036,1.02824,0.54247,0.97555,0.00096436,0.00096436,0.00096436
20,98.5278,0.97694,0.55108,0.98708,0.90148,0.91949,0.96295,0.71261,0.99748,0.56738,0.96163,0.00096238,0.00096238,0.00096238
21,103.294,0.99356,0.54156,0.98375,0.95532,0.93787,0.98025,0.71519,1.01381,0.52312,0.97295,0.0009604,0.0009604,0.0009604
22,108.149,0.99698,0.53761,0.99603,0.97035,0.97226,0.9867,0.729,0.98886,0.46449,0.95954,0.00095842,0.00095842,0.00095842
23,113.071,0.98102,0.53524,0.99277,0.97862,0.96261,0.98646,0.73363,0.96402,0.4702,0.95643,0.00095644,0.00095644,0.00095644
24,117.815,0.9872,0.53448,0.98175,0.96443,0.97817,0.99031,0.71854,1.01423,0.48062,0.98219,0.00095446,0.00095446,0.00095446
25,122.506,0.97975,0.52052,0.98241,0.96572,0.94646,0.98104,0.71979,1.00571,0.4946,0.9688,0.00095248,0.00095248,0.00095248
26,127.206,0.98584,0.51572,0.98508,0.92414,0.91344,0.96299,0.70887,1.00823,0.56761,0.96388,0.0009505,0.0009505,0.0009505
27,131.888,0.96545,0.50876,0.97387,0.93015,0.93394,0.96901,0.71143,1.02139,0.53758,0.96374,0.00094852,0.00094852,0.00094852
28,136.609,0.98859,0.53647,0.9869,0.97095,0.9628,0.98717,0.73424,0.98454,0.47195,0.95748,0.00094654,0.00094654,0.00094654
29,141.487,0.96548,0.52353,0.976,0.96122,0.95274,0.97998,0.73118,0.97622,0.47984,0.96099,0.00094456,0.00094456,0.00094456
30,146.181,0.96085,0.51597,0.97605,0.97008,0.95443,0.98541,0.73081,0.96612,0.47602,0.95506,0.00094258,0.00094258,0.00094258
31,150.861,0.97769,0.51989,0.97864,0.95869,0.95037,0.98141,0.71421,1.02188,0.49791,0.97538,0.0009406,0.0009406,0.0009406
32,155.539,0.94567,0.51579,0.97751,0.97163,0.94575,0.98051,0.73136,0.97177,0.48056,0.95758,0.00093862,0.00093862,0.00093862
33,160.203,0.94869,0.49335,0.9737,0.95127,0.95915,0.98627,0.73113,1.00563,0.488,0.97534,0.00093664,0.00093664,0.00093664
