epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.85984,0.75567,0.35706,0.89098,0.99849,0.99986,0.995,0.8583,0.65672,0.29754,0.85472,0.00025,0.00025,0.00025
2,9.71466,0.76901,0.36909,0.91217,0.99402,0.99951,0.99496,0.83782,0.7074,0.31972,0.8711,0.00050899,0.00050899,0.00050899
3,14.4735,0.76954,0.3808,0.90421,0.99417,0.99018,0.99469,0.83112,0.73042,0.3432,0.87839,0.000766951,0.000766951,0.000766951
4,19.1728,0.79897,0.40294,0.90625,0.99504,0.99518,0.99486,0.82604,0.73985,0.34619,0.87769,0.00099406,0.00099406,0.00099406
5,23.8329,0.79667,0.40704,0.91122,0.99413,0.99536,0.99359,0.83038,0.72378,0.34119,0.87749,0.00099208,0.00099208,0.00099208
6,28.5377,0.78541,0.39199,0.91047,0.99642,0.99474,0.99385,0.82171,0.75007,0.35051,0.8855,0.0009901,0.0009901,0.0009901
7,33.2313,0.78338,0.39897,0.90881,0.98336,0.97912,0.9906,0.81321,0.78452,0.39447,0.90425,0.00098812,0.00098812,0.00098812
8,37.9547,0.78846,0.40612,0.91587,0.97338,0.98978,0.99475,0.80704,0.83893,0.38343,0.91748,0.00098614,0.00098614,0.00098614
9,42.6074,0.78975,0.39856,0.90553,0.99517,0.98521,0.99447,0.81326,0.79962,0.35787,0.90429,0.00098416,0.00098416,0.00098416
10,47.2596,0.80108,0.40295,0.90484,0.99008,0.99452,0.99471,0.8082,0.8384,0.36494,0.91706,0.00098218,0.00098218,0.00098218
11,51.9136,0.78284,0.40741,0.90611,0.99645,0.99356,0.99457,0.81038,0.78641,0.35684,0.89955,0.0009802,0.0009802,0.0009802
12,56.5856,0.78694,0.39524,0.90487,0.988,0.98854,0.99338,0.80427,0.82238,0.37612,0.91993,0.00097822,0.00097822,0.00097822
